recordID,analysisPluralPattern
1651,External
1653,External
1654,External
1655,Mixed
1656,Mixed
1657,Mixed
1658,External
1660,Internal
1661,External
1662,Internal
1666,External
1667,External
1669,External
1670,External
1671,External
1672,External
1673,Mixed
1675,Mixed
1676,External
1678,Internal
1683,External
1684,Internal
1685,External
1687,Internal
1688,Internal
1689,Internal
1696,Internal
1700,Internal
1704,Internal
1706,External
1709,External
1711,External
1714,Internal
1715,External
1717,Internal
1721,Mixed
1726,External
1727,Internal
1730,Mixed
1732,External
1733,External
1734,Internal
1735,External
1737,External
1738,Mixed
1739,Mixed
1748,External
1749,Internal
1750,External
1751,Internal
1752,External
1753,Internal
1754,Internal
1756,Mixed
1757,External
1758,External
1761,External
1762,External
1773,External
1777,Internal
1778,Internal
1779,External
1782,Internal
1783,Mixed
1790,External
1794,Internal
1799,External
1801,External
1802,Internal
1809,External
1810,Mixed
1812,Mixed
1815,External
1818,External
1821,External
1822,External
1825,Internal
1826,External
1830,Internal
1832,Internal
1836,Internal
1837,External
1838,Internal
1841,Mixed
1842,External
1846,External
1848,Internal
1849,Mixed
1851,Internal
1856,External
1857,Mixed
1863,Mixed
1872,External
1873,External
1876,External
1879,Mixed
1881,Internal
1882,Mixed
1913,External
1931,External
1932,Mixed
1933,External
1934,External
1935,External
1936,External
1937,External
1946,Mixed
1947,External
1949,Mixed
1950,Mixed
1951,External
1952,Internal
1954,Internal
1956,Internal
1962,External
1963,External
1965,Internal
1968,External
1969,External
1971,External
1972,External
1975,Internal
1976,Internal
1980,External
1981,External
1985,Mixed
1987,Internal
1989,Internal
1990,External
1997,External
2002,External
2003,Internal
2007,Internal
2010,External
2011,External
2016,Mixed
2017,Internal
2018,External
2023,Internal
2024,Internal
2025,Internal
2026,External
2027,Internal
2028,Internal
2029,Internal
2031,External
2032,External
2036,Internal
2037,Mixed
2041,Internal
2042,Mixed
2044,External
2045,Internal
2046,External
2047,Mixed
2048,Internal
2051,Internal
2055,Internal
2056,External
2057,External
2062,Internal
2067,Internal
2069,External
2071,External
2095,External
2098,External
2099,External
2101,Internal
2105,External
2106,External
2113,External
2114,Internal
2118,Internal
2122,Internal
2125,External
2126,Internal
2127,Internal
2128,Mixed
2130,External
2131,External
2134,Internal
2135,Internal
2139,Mixed
2140,Mixed
2141,Mixed
2145,Mixed
2146,External
2147,Mixed
2148,External
2151,External
2153,External
2156,External
2157,Mixed
2158,External
2159,External
2161,Internal
2168,Mixed
2169,Internal
2170,Mixed
2171,External
2173,External
2174,External
2175,Mixed
2176,Internal
2178,External
2180,Mixed
2183,External
2186,External
2188,External
2189,External
2191,Internal
2192,External
2193,Mixed
2195,Internal
2197,Internal
2200,External
2203,External
2208,External
2209,Mixed
2210,External
2211,External
2216,Internal
2218,Mixed
2222,External
2223,External
2225,External
2226,Internal
2234,External
2235,External
2236,Mixed
2237,External
2250,Mixed
2251,External
2253,External
2257,External
2260,Internal
2263,External
2265,External
2274,Internal
2276,Internal
2279,External
2283,External
2284,External
2286,Internal
2287,External
2288,Internal
2291,External
2293,Internal
2295,Internal
2296,Internal
2297,Internal
2298,External
2300,Internal
2301,External
2302,Internal
2303,Mixed
2304,Internal
2305,External
2306,External
2308,External
2311,Internal
2312,Internal
2314,External
2315,Internal
2319,Internal
2328,External
2331,Internal
2332,Internal
2337,External
2338,Internal
2339,Internal
2340,External
2342,Internal
2343,External
2344,Internal
2345,Internal
2348,Internal
2350,Internal
2352,External
2353,External
2356,External
2358,Internal
2359,Internal
2360,Internal
2361,External
2362,Internal
2370,External
2371,Internal
2373,External
2374,Internal
2375,External
2377,External
2378,External
2379,External
2381,External
2385,External
2386,External
2387,Internal
2388,External
2390,Mixed
2392,External
2394,External
2395,External
2396,External
2398,External
2399,Mixed
2400,External
2401,External
2406,External
2409,Internal
2410,External
2413,Internal
2414,Internal
2415,Internal
2419,Internal
2420,External
2425,External
2427,External
2428,Internal
2429,External
2434,External
2438,External
2440,Internal
2442,External
2443,External
2444,Internal
2445,Internal
2446,Mixed
2447,External
2449,External
2450,Internal
2451,Internal
2452,Internal
2453,External
2454,Internal
2457,External
2458,External
2462,Internal
2463,Internal
2465,External
2466,External
2467,Internal
2469,Internal
2472,Internal
2473,Internal
2474,Internal
2476,Internal
2477,External
2478,External
2479,Internal
2482,External
2483,Internal
2484,Internal
2486,External
2489,External
2490,Internal
2491,Internal
2492,Internal
2493,Internal
2497,Internal
2498,Mixed
2499,Internal
2704,Mixed
2502,Internal
2503,Internal
2505,External
2506,External
2507,Internal
2508,Internal
2511,External
2516,Internal
2518,Internal
2523,External
2524,Internal
2525,External
2526,External
2527,Mixed
2528,External
2530,External
2532,External
2533,External
2536,Internal
2537,External
2538,External
2543,External
2544,External
2545,External
2547,Internal
2548,Internal
2549,External
2551,Internal
2552,Internal
2553,External
2558,External
2559,Internal
2561,External
2562,Internal
2563,Mixed
2566,Internal
2570,Internal
2572,Internal
2574,Internal
2575,Internal
2576,Internal
2577,Internal
2578,External
2579,Internal
2583,Internal
2584,Internal
2586,External
2587,Internal
2588,Internal
2590,External
2591,External
2595,Internal
2599,Internal
2602,Internal
2604,External
2605,Internal
2610,Internal
2613,Internal
2614,External
2615,Internal
2616,Internal
2624,Internal
2630,Internal
2631,Internal
2633,External
2638,External
2639,External
2640,External
2641,External
2642,Internal
2643,External
2645,External
2647,External
2648,External
2649,External
2651,External
2658,Mixed
2659,Mixed
2662,External
2665,External
2667,Internal
2669,Internal
2674,Internal
2675,External
2677,External
2678,Internal
2681,External
2683,Internal
2685,External
2687,Mixed
2690,External
2691,Mixed
2694,External
2695,External
2696,External
2697,External
2698,External
2700,Internal
2701,External
