analysisGender2Category,analysisGender3Category,analysisHasSecondaryMorphYN,analysisInternalChanges,analysisMutability,analysisNotes,analysisPluralPattern,analysisPluralPatternSecondary,analysisPluralSplitYN,analysisPluralTheme,analysisPluralThemeSecondary,analysisRAugSplitYN,analysisRAugVowel,analysisSemanticCoreYN,analysisSingularTheme,lexiconAnimateYN,lexiconGender,lexiconGlossEnglish,lexiconGlossFrench,lexiconHumanYN,lexiconjGender,lexiconLoanwordNotes,lexiconLoanwordSource,lexiconPOS,lexiconSemanticField,lexiconSexGender,recordDataSource,recordID,word1MSF,word2MSB,word3MPF,word4MPB,word5FSF,word6FSB,word7FPF,word8FPB,wordDerivedCategory,wordDerivedCategoryNotes,wordDerivedInput,wordDerivedInputGloss,wordFemBase,wordFemSecondary,wordLexBitVector,wordMascBase,wordMascSecondary,wordNumSemanticCategory,p_stem_sing_syllabified,p_stem_sing_LH,p_stem_sing_foot,p_LH_count_heavies,p_LH_count_moras,p_foot_count_feet,p_foot_residue
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,mmussna,N,F,awareness,connaissance,N,F,,Native,N,Mind & Thought,,Jebbour 1996,26,,,,,timmussna,tmmussna,,,Tirrugza,,amassan (noun),savant,5.0,,0000-1100,0.0,,,m.muss.na,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!mmuttla,N,F,delay,retard,N,F,,Native,N,Time,,Jebbour 1996,27,,,,,!timmuttla,!tmmuttla,,,Tirrugza,,!matl (verb),be late,5.0,,0000-1100,0.0,,,m.mutt.la,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,mmuzzla,N,F,brokerage,courtage,N,F,,Native,N,Possession & Trade,,Jebbour 1996,28,,,,,timmuzzla,tmmuzzla,,,Tirrugza,,amazzal (noun),broker,5.0,,0000-1100,0.0,,,m.muzz.la,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,ʃʃurfa,N,F,holiness,sainteté,N,F,,Arabic-Assimilated,N,Religion & Beliefs,,Jebbour 1996,29,,,,,tiʃʃurfa,tʃʃurfa,,,Tirrugza,,ʃʃrif (noun),descendant of the prophet,5.0,,0000-1100,0.0,,,ʃ.ʃur.fa,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,ʃʃurka,N,F,association,association,N,F,,Arabic-Assimilated,N,Social Relations,,Jebbour 1996,30,,,,,tiʃʃurka,tʃʃurka,,,Tirrugza,,ʃrk (verb),share,5.0,,0000-1100,0.0,,,ʃ.ʃur.ka,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,!dduʒra,N,F,neighborhood,voisinage,N,F,,Arabic-Assimilated,N,Social Relations,,Jebbour 1996,31,,,,,!tidduʒra,!tdduʒra,,,Tirrugza,,addʒar (noun),neighbor,5.0,,0000-1100,0.0,,,d.duʒ.ra,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,mmuʁra,N,F,notability,notabilité,N,F,,Native,N,Mind & Thought,,Jebbour 1996,32,,,,,timmuʁra,tmmuʁra,,,Tirrugza,,amʁar (noun),notable,5.0,,0000-1100,0.0,,,m.muʁ.ra,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,mmuksa,N,F,problematic situation,situation problématique,N,F,,Native,N,Mind & Thought,,Jebbour 1996,33,,,,,timmuksa,tmmuksa,,,Tirrugza,,???,???,5.0,,0000-1100,0.0,,,m.muk.sa,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,mmunja,N,F,horse riding,équitation,N,F,,Native,N,Possession & Trade,,Jebbour 1996,34,,,,,timmunja,tmmunja,,,Tirrugza,,amnaj (noun),rider,5.0,,0000-1100,0.0,,,m.mun.ja,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,mmuzʁa,N,F,"Amazighity, freedom","Amazighité, liberté",N,F,,Native,N,Social Relations,,Jebbour 1996,35,,,,,timmuzʁa,tmmuzʁa,,,Tirrugza,,amaziʁ (noun),Amazigh,5.0,,0000-1100,0.0,,,m.muz.ʁa,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,nnubga,N,F,"invitation, visit","invitation, visite",N,F,,Native,N,Social Relations,,Jebbour 1996,36,,,,,tinnubga,tnnubga,,,Tirrugza,,inbgi (noun),guest,5.0,,0000-1100,0.0,,,n.nub.ga,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,rrugza,N,F,virility,virilité,N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,37,,,,,tirrugza,trrugza,,,Tirrugza,,argaz (noun),man,5.0,,0000-1100,0.0,,,r.rug.za,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,rruksa,N,F,blend,mélange,N,F,,Native,N,Spatial Relations,,Jebbour 1996,38,,,,,tirruksa,trruksa,,,Tirrugza,,rks (verb),mix,5.0,,0000-1100,0.0,,,r.ruk.sa,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,ttulba,N,F,quality of having the duty of a taleb,charge du taleb,N,F,,Arabic-Assimilated,N,Religion & Beliefs,,Jebbour 1996,39,,,,,!tittulba,!tttulba,,,Tirrugza,,!ttalb (noun),religion teacher,5.0,,0000-1100,0.0,,,t.tul.ba,LHL,lFl,1,4,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,wwurga,N,F,dream,rêve,N,F,,Native,N,Mind & Thought,,Jebbour 1996,40,,,,,tiwwurga,twwurga,,,Tirrugza,,warg (verb),dream,5.0,,0000-1100,0.0,,,w.wur.ga,LHL,lFl,1,4,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,skazzaj,,,A,N,skazzaj,N,M,screeching,crissement,N,M,,Native,N,Emotion,,Jebbour 1996,41,askazzaj,uskazzaj,iskazzajn,iskazzajn,taskazzajt,tskazzajt,tiskazzajin,tskazzajin,Instrumental Nouns,,skizzi (verb),rasp,0.0,DIM,1111-1111,1.0,,5-DIM,s.kaz.zaj,LHH,lFF,1,5,2,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,aga,N,F,curse,malédiction,N,F,,Native,N,Language & Music,,Jebbour 1996,42,,,,,tagat,tagat,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,a.ga,LL,F,0,2,1,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,adaw,N,F,back (of animal),dos (animal),N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,43,,,,,tadawt,tadawt,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,a.daw,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,Stem phonology: latent final glide deletion,External,,N,guriw,,,A,N,guri,N,F,oversize,dépassement en taille,N,F,,Native,N,Spatial Relations,,Jebbour 1996,44,,,,,taguri,tguri,tiguriwin,tguriwin,Action Nouns,,agʷr (verb),be bigger,5.0,,0000-1111,0.0,,,gu.ri,LL,F,0,2,1,0
Masculine,Masculine,,,Fixed-Masc,"Lexicalized compound noun: m- 'agentive', af 'find', aman' water",id Plural,,N,,,,Zero,N,mafaman,Y,M,dowser,sourcier,Y,M,,Native,N,Agriculture & Vegetation,NonSpec,Jebbour 1996,45,mafaman,mafaman,id mafaman,id mafaman,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,ma.fa.man,LLH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,Zero,N,!agʷrd,N,M,"back, rear",arrière,N,M,,Native,N,Spatial Relations,,Jebbour 1996,46,!agʷrd,!wagʷrd,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,a.grd,LH,lF,1,3,1,1
Masculine,Masculine,,Medial A,Fixed-Masc,,Internal,,N,sksal,,,A,N,sksl,N,M,type of window,type de fenêtre,N,M,,Native,N,Dwellings & Furniture,,Jebbour 1996,47,asksl,usksl,isksal,isksal,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,sk.sl,HL,Fl,1,3,1,1
Masculine,Masculine,,Medial A,Fixed-Masc,,Internal,,N,smkal,,,A,N,smkl,N,M,food container,récipient pour nourriture,N,M,,Native,N,Food & Drink,,Jebbour 1996,48,asmkl,usmkl,ismkal,ismkal,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,sm.kl,LL,F,0,2,1,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,mʕʃʃr,,,A,N,mʕʃʃr,Y,M,"fellow, companion",compagnon,Y,M,,Arabic-Assimilated,N,Social Relations,NonSpec,Jebbour 1996,49,amʕʃʃr,umʕʃʃr,imʕʃʃrn,imʕʃʃrn,tamʕʃʃrt,tmʕʃʃrt,timʕʃʃrin,tmʕʃʃrin,Agentives,,ʕaʃr,,0.0,POLY,1111-1111,1.0,,5-POLY,m.ʕʃ.ʃr,LLL,lF,0,3,1,1
Masculine,Masculine,,,Fixed-Masc,"R-Aug Vowel: we know R-Aug is [a] because the [i] is from the plural, noun derived the verb /gʒdr/ 'say nonsense or do nonsensical things', which lacks an initial vowel. ",Only Plural,,N,gʒdr,,,A,N,,N,M,nonsense,balivernes,N,M,,Native,N,Language & Music,,Jebbour 1996,50,,,igʒdrn,igʒdrn,,,,,Result of Verbal Action - WIP,,gʒdr (verb),screw anything,0.0,,0011-0000,3.0,,,,,,0,0,0,0
Masculine,Masculine,Yes,Ablaut,Variable-Masc,,Internal,,N,ssnda,,,A,N,ssndu,N,M,wooden shaker of a wineskin for churning milk (for butter),mancheron d'outre (lait),N,M,,Native,N,Food & Drink,,Jebbour 1996,51,assndu,ussndu,issnda,issnda,tassndut,tssndut,tissnda,tssnda,Instrumental Nouns,,ssndu (verb),???,0.0,DIM,1111-1111,3.0,,5-DIM,s.sn.du,LLL,lF,0,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,I,N,mndi,N,M,"grains, cereals","grains, céréales",N,M,,Native,N,Food & Drink,,Jebbour 1996,53,imndi,imndi,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,mn.di,LL,F,0,2,1,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!frziz,,,A,N,!frziz,N,M,gourd,coloquinte,N,M,,Native,N,Food & Drink,,Jebbour 1996,54,!afrziz,!ufrziz,!ifrzizn,!ifrzizn,!tafrzizt,!tfrzizt,!tifrzizin,!tfrzizin,Underived,,NotAppl,,0.0,UNIT,1111-1111,1.0,,5-UNIT,fr.ziz,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,aʒʒgal,,,Zero,N,aʒʒgal,N,M,kind of bag or satchel,sorte de sac ou gibecière,N,M,,Native,N,Clothing & Adornment,,Jebbour 1996,55,aʒʒgal,waʒʒgal,aʒʒgaln,aʒʒgaln,taʒʒgalt,taʒʒgalt,taʒʒgalin,taʒʒgalin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,aʒ.ʒ.gal,HLH,FlF,1,5,2,1
Masculine,Masculine,Yes,Ablaut,Variable-Masc,Singular Theme: regular delabialization.,Internal,,N,kʷntar,,,A,N,kntur,Y,M,goat,bouc,N,M,,Native,N,Animals,NonSpec,Jebbour 1996,56,akntur,ukntur,ikʷntar,ikʷntar,taknturt,tknturt,tikʷntar,tkʷntar,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,kn.tur,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,sbbab,,,A,N,sbbab,Y,M,person who helps with birth,personne qui aide à la mise bas,Y,M,,Arabic-Assimilated,N,Body Parts & Functions,NonSpec,Jebbour 1996,58,asbbab,usbbab,isbbabn,isbbabn,tasbbabt,tsbbabt,tisbbabin,tsbbabin,Occupational Nouns,,sabab (verb),cause,0.0,POLY,1111-1111,1.0,,5-POLY,sb.bab,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,I,N,swi,N,M,animal stomach contents,contenu de l'estomac animal,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,59,iswi,iswi,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,s.wi,LL,F,0,2,1,0
Masculine,Masculine,,,Fixed-Masc,,External,,N,!ʃbar,,,A,N,!ʃbar,N,M,promontory dominating a locality,promontoire dominant une localité,N,M,,Native,N,Physical World,,Jebbour 1996,60,!aʃbar,!uʃbar,!iʃbarn,!iʃbarn,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,ʃ.bar,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,External,,N,ussif,,,Zero,N,ussif,N,M,splinter,écharde,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,61,ussif,wussif,ussifn,wussifn,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,us.sif,HH,FF,1,4,2,0
Feminine,Feminine,Yes,,Variable-Fem,,External,,N,uzlim,,,Zero,N,uzlim,N,M,scissors,ciseaux,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,62,uzlim,wuzlim,uzlimn,wuzlimn,tuzlimt,tuzlimt,tuzlimin,tuzlimin,Underived,,NotAppl,,0.0,,1111-1111,1.0,AUG,1-AUG,uz.lim,HH,FF,1,4,2,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,msijjs,,,A,N,msijjs,Y,M,tamer,dompteur,Y,M,,Native,N,Physical Acts & Materials,NonSpec,Jebbour 1996,63,amsijjs,umsijjs,imsijjsn,imsijjsn,tamsijjst,tmsijjst,timsijjsin,tmsijjsin,Agentives,,sijjs (verb),to tame,0.0,POLY,1111-1111,1.0,,5-POLY,m.sij.js,LHL,lFl,1,4,1,1
Masculine,Masculine,Yes,Ablaut,Variable-Masc,,Internal,,N,!ʃbura,,,A,N,!ʃbaru,N,M,a kind of plant,,N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,64,!aʃbaru,!uʃbaru,!iʃbura,!iʃbura,!taʃbarut,!tʃbarut,!tiʃbura,!tʃbura,Underived,,NotAppl,,0.0,UNIT,1111-1111,1.0,,5-UNIT,ʃ.ba.ru,LLL,lF,0,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,ħbari,,,A,Y,ħbari,Y,M,type of horse,type de cheval,N,M,,Native,N,Animals,NonSpec,Jebbour 1996,65,aħbari,uħbari,iħbarin,iħbarin,taħbarit,tħbarit,tiħbarin,tħbarin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,ħ.ba.ri,LLL,lF,0,3,1,1
Masculine,Neutral,,Ablaut,Neutral,,Internal,,N,ndura,,,A,Y,ndaru,Y,M,someone who shares a meal,qui partage le repas,Y,M,,Native,N,Social Relations,NonSpec,Jebbour 1996,66,andaru,undaru,indura,indura,tandarut,tndarut,tindura,tndura,Agentives,,dru (verb),to share food,0.0,,1111-1111,1.0,,,n.da.ru,LLL,lF,0,3,1,1
Masculine,Masculine,,,Fixed-Masc,"Subcategory: Proper Name
To do: find specific location (optional)",No Plural,,N,,,,Zero,N,adaj,N,M,toponym,toponyme,N,M,,Native,N,Physical World,,Jebbour 1996,67,adaj,wadaj,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,a.daj,LH,lF,1,3,1,1
Masculine,Masculine,Yes,"Ablaut
Medial A",Variable-Masc,,Internal,,N,sutam,,,A,N,satm,N,M,niche,niche,N,M,,Native,N,Physical World,,Jebbour 1996,68,asatm,usatm,isutam,isutam,tasatmt,tsatmt,tisutam,tsutam,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,sa.tm,LL,F,0,2,1,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,I,N,miri,N,M,agricultural terrace,terrasse agricole,N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,69,imiri,imiri,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,mi.ri,LL,F,0,2,1,0
Masculine,Neutral,,,Neutral,Gender: masc/fem depending on the gender of the modified noun,External,,N,!mazuz,,,A,Y,!mazuz,Y,M,grown late in the agricultural year,cultivé tard dans l'année agricole,N,M,,Native,N,Agriculture & Vegetation,NonSpec,Jebbour 1996,70,!amazuz,!umazuz,!imazuzn,!imazuzn,!tamazuzt,!tmazuzt,!timazuzin,!tmazuzin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,ma.zuz,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,gʷilal,,,A,Y,gʷilal,Y,M,kind of horse with long mane (foal),à longue crinière (poulain),N,M,,Native,N,Animals,NonSpec,Jebbour 1996,78,agʷilal,ugʷilal,igʷilaln,igʷilaln,tagʷilalt,tgʷilalt,tigʷilalin,tgʷilalin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,gi.lal,LH,lF,1,3,1,1
